schema,table_name,purpose,primary_key,date_column,symbol_column,universe_role,authoritative_domain,used_by_rrg,used_by_eod,proposed_research_dependency,notes
public,instruments,"Master instrument table for all stocks, indices, ETFs, and benchmarks",id,"created_at, updated_at","symbol, yahoo_symbol",MASTER_UNIVERSE,Instrument & Entity Master,YES,YES,Foreign Key anchor for research entity resolution (stocks & sectors),"Authoritative instrument repository with NSE symbol, ISIN, sector, industry"
public,report_packs,Pre-packaged JSON/binary research pack payloads for daily & weekly reports,report_date,"report_date, built_at",NONE,REPORT_PAYLOAD,Report Datapack Storage,NO,YES,Source payload for research report extraction,Stores generated report JSON blob packs
public,rrg_benchmarks,"RRG benchmark index definitions (e.g. NIFTY 50, NIFTY 500, Sector indices)",id,created_at,"symbol, source_instrument_id",RRG_BENCHMARKS,RRG Benchmark Infrastructure,YES,YES,Benchmark reference for Sector & Stock rotation research,Maps benchmark IDs to source instruments
public,rrg_calculation_runs,Audit execution table for RRG engine calculation runs,id,"run_started_at, run_finished_at, week_end",NONE,RRG_AUDIT,RRG Execution Governance,YES,NO,NONE,"Logs status, counts, warnings for RRG calculation batches"
public,rrg_config,System configuration key-value parameters for RRG engine v1,key,N/A,NONE,RRG_CONFIG,RRG Engine Parameters,YES,NO,NONE,"Stores center points, default windows, smooth factor"
public,rrg_constituents,Historical constituent memberships and weights for RRG benchmark universes,"benchmark_id, instrument_id, effective_date","effective_date, created_at",instrument_id,RRG_CONSTITUENTS,RRG Universe Composition,YES,NO,Read-only reference for benchmark membership lookup,Historical component weights per RRG benchmark
public,rrg_data_quality,Data quality audit table flagging missing trading sessions or bad data in RRG inputs,id,"week_end, created_at",instrument_id,RRG_QUALITY,RRG Data Quality Audit,YES,NO,NONE,Tracks session counts and missing candles
public,rrg_engine_v2_config,"Configuration settings for RRG Engine V2 (JDK Smoothing, EMA parameters)",key,N/A,NONE,RRG_CONFIG,RRG V2 Parameters,YES,NO,NONE,V2 engine configuration settings
public,rrg_events,Detected RRG quadrant transition and rotation event log,id,"week_end, created_at",instrument_id,RRG_EVENTS,RRG Signals & Transition Events,YES,YES,Quantitative signal input for research layer event correlation,Logs quadrant transitions (e.g. Improving -> Leading)
public,rrg_instruments,RRG active instrument master mapped to public.instruments,id,"source_updated_at, created_at","symbol, yahoo_symbol, source_instrument_id",RRG_INSTRUMENTS,RRG Instrument Master,YES,YES,Read-only lookup for RRG visualizations,RRG-specific instrument shadow table linked to main instruments
public,rrg_metrics_v2,"Authoritative RRG calculated metrics (RS-Ratio, RS-Momentum, Quadrant, Heading, Returns)","instrument_id, benchmark_id, universe_type, week_end, calculation_version","week_end, data_date, created_at",instrument_id,RRG_METRICS,RRG Relative Rotation Analytics,YES,YES,Core quantitative input for Sector Rotation & Stock Momentum Research,"Contains weekly RS-Ratio, RS-Momentum, quadrant (Leading/Weakening/Lagging/Improving)"
public,rrg_universe_v2,RRG universe definition table mapping parent benchmarks to instruments,"parent_benchmark_id, instrument_id",N/A,"instrument_id, benchmark_instrument_id",RRG_UNIVERSE_DEFS,RRG Universe Hierarchy,YES,NO,Read-only universe lookup,Defines stock-to-sector and sector-to-index parentage for RRG
public,rrg_week_picker,RRG Friday week-end date lookup calendar table,week_end_friday,"week_end_friday, data_date, created_at",NONE,CALENDAR,Weekly Calendar Master,YES,YES,Read-only weekly date boundary alignment,Ensures standard Friday week-ending alignment for weekly calculations
public,weekly_indicators,Weekly technical indicators (e.g. RSI_14 weekly),"instrument_id, week_end",week_end,instrument_id,QUANTITATIVE_INDICATORS,Weekly Technical Indicators,YES,YES,Read-only input for Weekly Brief research,Stores weekly timeframe indicators
public,weekly_prices,Weekly OHLCV aggregated price series for instruments,"instrument_id, week_end",week_end,instrument_id,QUANTITATIVE_PRICES,Weekly Market Prices (OHLCV),YES,YES,Weekly price series reference for research analysis,Aggregated weekly bar price database
supabase_migrations,schema_migrations,Supabase migration history tracking table,version,N/A,NONE,SYSTEM,Database Schema Migrations,NO,NO,NONE,Supabase internal CLI migration version tracker
